"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Central African Republic","CAF","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.1","17.8","17.5","17.2","17","16.9","16.7","16.7","16.6","16.5","16.5","16.5","16.6","16.6","16.7","16.8","16.8","16.8","16.8","16.7","16.6","16.4","16.1","15.8","15.4","15.1","14.8","14.5","14.1","13.8","13.4","13",
"Canada","CAN","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0.9","0.9","0.8","0.8","0.8","0.7","0.7","0.7","0.6","0.6","0.6","0.6","0.6","0.5","0.5","0.5","0.5","0.5","0.5","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4",
"Central Europe and the Baltics","CEB","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.82369139878481","1.72351058509314","1.66890893674832","1.69365719903308","1.77274750065594","1.85251436290235","1.90671742830093","1.85091108222722","1.68071987019563","1.45510231277315","1.27566096649374","1.1833898611361","1.13589352320226","1.06445030781518","1.0359503092663","1.01589102754876","0.985809392631947","0.940557586484131","0.935578166346887","0.858763756331804","0.794505345039266","0.759942149496511","0.735782324526368","0.649994911702621","0.635462793732701","0.621171056675064","0.619862547635756","0.587559076075977","0.544545079402017","0.536071084119301","0.53195698446879","0.50662311764303",
"Switzerland","CHE","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0.9","0.9","0.8","0.8","0.8","0.7","0.7","0.7","0.6","0.6","0.6","0.6","0.5","0.5","0.5","0.5","0.5","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.3","0.3","0.3","0.3","0.3","0.3",
"Channel Islands","CHI","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.5","1.5","1.4","1.4","1.3","1.3","1.2","1.2","1.1","1.1","1","1","1","0.9","0.9","0.9","0.8","0.8","0.8","0.8","0.9","0.7","0.7","0.7","0.7","0.7","0.6","0.6","0.6","0.6","0.6","0.5",
"China","CHN","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.4","4.2","3.9","3.7","3.5","3.3","3.1","2.9","2.7","2.5","2.4","2.2","2.1","2","1.9","1.8","1.7","1.6","1.7","1.4","1.3","1.3","1.2","1.2","1.1","1.1","1","1","1","0.9","0.9","0.9",
"Cote d'Ivoire","CIV","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.7","17.4","17.1","16.8","16.6","16.3","16","15.8","15.6","15.3","15.2","15","14.9","14.8","14.7","14.7","14.7","14.8","14.8","14.9","14.9","15","15.1","15.1","15.1","15.1","15","14.7","14.5","14.2","13.8","13.5",
"Cameroon","CMR","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.1","21.9","21.8","21.6","21.5","21.3","21.1","20.9","20.7","20.4","20.2","20","19.7","19.4","19.1","18.8","18.5","18.2","17.9","17.5","17.2","16.8","16.5","16.1","15.7","15.4","15","14.7","14.4","14","13.6","13.2",
"Congo, Dem. Rep.","COD","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.8","26.1","25.4","24.8","24.2","23.6","23","22.4","21.8","21.2","20.6","20","19.5","19","18.4","17.9","17.4","16.9","16.4","15.9","15.4","14.9","14.4","14","13.5","13.1","12.7","12.3","11.9","11.5","11.2","10.8",
"Congo, Rep.","COG","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.1","21.8","20.5","19.3","18.2","17.2","16.3","15.4","14.6","13.7","12.9","12.1","11.4","10.7","9.9","9.3","8.6","8","7.4","6.8","6.3","5.8","5.4","5","4.7","4.5","4.2","4.1","3.9","6.2","3.6","3.4",
