Age,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
20,777461,776430.0,775602.0,779888.0,782080.0,792565.0,797068.0,795773.0,801585.0,803139.0,799376.0,786336.0,773751.0,762905.0,747160.0,725105.0,706604.0,691214.0,680413.0,665264.0,653698.0,664962.0,659665.0,655396.0,652352.0,650655.0,650319.0,651260.0,653316.0,656269.0,659874.0,663817.0,667810.0,671616.0,674995.0,677722.0,679597.0,680434.0,680162.0,678686.0,675994.0,672089.0,667071.0,661063.0,654270.0,646886.0,639158.0,631317.0,623627.0,616296.0,609479.0,603346.0,597986.0,593463.0,589795.0,586954.0,584932.0,583656.0,583030.0,582967.0,583347.0,584045.0,584921.0,585854.0,586707.0,587373.0,587750.0,587744.0,587285.0,586318.0,584802.0,582721.0,580115.0,576979.0,573377.0,569391.0,565096.0,560572.0,555934.0,551283.0
21,757832,777165.0,776135.0,775307.0,779591.0,781783.0,792264.0,796765.0,795470.0,801280.0,802834.0,799072.0,786037.0,773457.0,762615.0,746876.0,724829.0,706335.0,690951.0,680154.0,665011.0,653449.0,664709.0,659414.0,655147.0,652104.0,650408.0,650072.0,651012.0,653068.0,656019.0,659623.0,663565.0,667556.0,671361.0,674738.0,677464.0,679339.0,680175.0,679903.0,678428.0,675737.0,671833.0,666817.0,660812.0,654021.0,646640.0,638915.0,631077.0,623390.0,616062.0,609247.0,603117.0,597759.0,593237.0,589571.0,586731.0,584710.0,583434.0,582808.0,582745.0,583125.0,583823.0,584699.0,585631.0,586484.0,587150.0,587526.0,587520.0,587062.0,586095.0,584580.0,582499.0,579894.0,576760.0,573159.0,569174.0,564881.0,560359.0,555723.0
22,733664,757544.0,776869.0,775840.0,775012.0,779295.0,781486.0,791963.0,796462.0,795167.0,800975.0,802529.0,798768.0,785738.0,773163.0,762325.0,746592.0,724553.0,706066.0,690688.0,679895.0,664758.0,653201.0,664456.0,659163.0,654898.0,651856.0,650161.0,649825.0,650764.0,652820.0,655770.0,659372.0,663313.0,667302.0,671106.0,674481.0,677206.0,679081.0,679916.0,679644.0,678170.0,675480.0,671578.0,666563.0,660561.0,653772.0,646394.0,638672.0,630837.0,623153.0,615828.0,609015.0,602888.0,597532.0,593011.0,589347.0,586508.0,584488.0,583212.0,582586.0,582523.0,582903.0,583601.0,584477.0,585408.0,586261.0,586927.0,587303.0,587297.0,586839.0,585872.0,584358.0,582277.0,579673.0,576541.0,572941.0,568958.0,564666.0,560146.0
23,711954,733385.0,757256.0,776574.0,775545.0,774717.0,778999.0,781189.0,791662.0,796159.0,794865.0,800670.0,802224.0,798464.0,785439.0,772869.0,762035.0,746308.0,724277.0,705797.0,690425.0,679636.0,664505.0,652953.0,664203.0,658912.0,654649.0,651608.0,649914.0,649578.0,650517.0,652572.0,655521.0,659121.0,663061.0,667048.0,670851.0,674225.0,676948.0,678823.0,679657.0,679386.0,677912.0,675223.0,671323.0,666310.0,660310.0,653523.0,646148.0,638429.0,630597.0,622916.0,615594.0,608783.0,602659.0,597305.0,592785.0,589123.0,586285.0,584266.0,582990.0,582364.0,582301.0,582681.0,583379.0,584255.0,585185.0,586038.0,586704.0,587080.0,587074.0,586616.0,585649.0,584136.0,582056.0,579453.0,576322.0,572723.0,568742.0,564451.0
24,699410,711683.0,733106.0,756968.0,776279.0,775250.0,774422.0,778703.0,780892.0,791361.0,795856.0,794563.0,800366.0,801919.0,798160.0,785140.0,772575.0,761745.0,746024.0,724002.0,705529.0,690162.0,679378.0,664252.0,652705.0,663950.0,658661.0,654400.0,651360.0,649667.0,649331.0,650270.0,652324.0,655272.0,658870.0,662809.0,666794.0,670596.0,673969.0,676691.0,678565.0,679399.0,679128.0,677654.0,674966.0,671068.0,666057.0,660059.0,653274.0,645902.0,638186.0,630357.0,622679.0,615360.0,608551.0,602430.0,597078.0,592560.0,588899.0,586062.0,584044.0,582768.0,582143.0,582080.0,582459.0,583157.0,584033.0,584962.0,585815.0,586481.0,586857.0,586851.0,586393.0,585426.0,583914.0,581835.0,579233.0,576103.0,572505.0,568526.0
25,697916,699144.0,711412.0,732827.0,756680.0,775984.0,774955.0,774127.0,778407.0,780595.0,791060.0,795553.0,794261.0,800062.0,801614.0,797856.0,784841.0,772281.0,761455.0,745740.0,723727.0,705261.0,689900.0,679120.0,663999.0,652457.0,663698.0,658411.0,654151.0,651112.0,649420.0,649084.0,650023.0,652076.0,655023.0,658619.0,662557.0,666540.0,670341.0,673713.0,676434.0,678307.0,679141.0,678870.0,677396.0,674709.0,670813.0,665804.0,659808.0,653026.0,645656.0,637943.0,630117.0,622442.0,615126.0,608320.0,602201.0,596851.0,592335.0,588675.0,585839.0,583822.0,582546.0,581922.0,581859.0,582237.0,582935.0,583811.0,584740.0,585592.0,586258.0,586634.0,586628.0,586170.0,585203.0,583692.0,581614.0,579013.0,575884.0,572287.0
26,684065,696953.0,698180.0,710431.0,731816.0,755636.0,774914.0,773886.0,773059.0,777333.0,779518.0,789969.0,794456.0,793165.0,798958.0,800508.0,796755.0,783758.0,771216.0,760405.0,744711.0,722729.0,704288.0,688948.0,678183.0,663083.0,651557.0,662782.0,657503.0,653249.0,650214.0,648524.0,648189.0,649126.0,651176.0,654119.0,657710.0,661643.0,665621.0,669416.0,672784.0,675501.0,677371.0,678204.0,677933.0,676462.0,673778.0,669888.0,664886.0,658898.0,652125.0,644765.0,637063.0,629248.0,621583.0,614277.0,607481.0,601370.0,596028.0,591518.0,587863.0,585031.0,583017.0,581742.0,581119.0,581056.0,581434.0,582131.0,583006.0,583933.0,584784.0,585449.0,585825.0,585819.0,585361.0,584396.0,582887.0,580812.0,578214.0,575090.0
27,675766,683075.0,695945.0,697170.0,709403.0,730757.0,754543.0,773793.0,772766.0,771941.0,776208.0,778390.0,788826.0,793307.0,792017.0,797802.0,799350.0,795602.0,782624.0,770100.0,759305.0,743634.0,721683.0,703269.0,687951.0,677202.0,662124.0,650614.0,661823.0,656552.0,652304.0,649273.0,647586.0,647251.0,648187.0,650234.0,653173.0,656758.0,660686.0,664658.0,668447.0,671811.0,674524.0,676391.0,677223.0,676952.0,675483.0,672803.0,668919.0,663924.0,657945.0,651182.0,643832.0,636141.0,628338.0,620684.0,613388.0,606602.0,600500.0,595166.0,590662.0,587012.0,584185.0,582173.0,580900.0,580278.0,580215.0,580593.0,581289.0,582163.0,583088.0,583938.0,584602.0,584977.0,584971.0,584514.0,583550.0,582044.0,579972.0,577377.0
28,695324,674743.0,682041.0,694891.0,696114.0,708329.0,729651.0,753401.0,772621.0,771596.0,770772.0,775033.0,777211.0,787632.0,792106.0,790818.0,796594.0,798140.0,794397.0,781439.0,768934.0,758155.0,742508.0,720590.0,702204.0,686909.0,676177.0,661121.0,649629.0,660821.0,655558.0,651316.0,648290.0,646605.0,646271.0,647206.0,649249.0,652184.0,655764.0,659686.0,663652.0,667435.0,670794.0,673503.0,675367.0,676198.0,675927.0,674460.0,671784.0,667906.0,662919.0,656949.0,650196.0,642857.0,635178.0,627387.0,619744.0,612459.0,605684.0,599591.0,594265.0,589768.0,586123.0,583300.0,581292.0,580020.0,579399.0,579337.0,579714.0,580409.0,581282.0,582205.0,583054.0,583717.0,584091.0,584085.0,583629.0,582666.0,581163.0,579094.0
29,723308,694224.0,673676.0,680962.0,693792.0,695013.0,707209.0,728497.0,752210.0,771399.0,770376.0,769553.0,773807.0,775982.0,786386.0,790853.0,789567.0,795334.0,796878.0,793141.0,780203.0,767718.0,756956.0,741334.0,719450.0,701094.0,685823.0,675108.0,660076.0,648602.0,659776.0,654521.0,650286.0,647265.0,645582.0,645249.0,646183.0,648222.0,651153.0,654727.0,658643.0,662603.0,666380.0,669733.0,672438.0,674299.0,675129.0,674858.0,673393.0,670722.0,666850.0,661871.0,655910.0,649168.0,641840.0,634174.0,626395.0,618764.0,611490.0,604726.0,598643.0,593325.0,588835.0,585196.0,582378.0,580373.0,579103.0,578483.0,578421.0,578797.0,579491.0,580363.0,581284.0,582132.0,582794.0,583167.0,583161.0,582706.0,581745.0,580244.0
