Age,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
20,487072,481891.0,485662.0,494747.0,498981.0,504541.0,509641.0,519203.0,514630.0,496348.0,488911.0,477885.0,457298.0,447789.0,446831.0,437677.0,420375.0,395841.0,373583.0,353251.0,349523.0,341218.0,334891.0,329050.0,323603.0,318383.0,313612.0,309271.0,305222.0,301544.0,298289.0,295279.0,292270.0,288986.0,285420.0,281640.0,277955.0,274175.0,270405.0,266869.0,263509.0,260158.0,256757.0,253343.0,249855.0,246163.0,242423.0,238724.0,234888.0,230828.0,226619.0,222229.0,217682.0,212872.0,208089.0,203594.0,199178.0,194916.0,190995.0,187183.0,183336.0,179588.0,176113.0,173035.0,170321.0,167912.0,165494.0,163155.0,160845.0,158557.0,156284.0,154024.0,151771.0,149508.0,147254.0,145004.0,142736.0,140462.0,138171.0,135880.0
21,487107,486945.0,481766.0,485536.0,494618.0,498851.0,504410.0,509508.0,519068.0,514496.0,496219.0,488784.0,477761.0,457179.0,447673.0,446715.0,437563.0,420266.0,395738.0,373486.0,353159.0,349432.0,341129.0,334804.0,328964.0,323519.0,318300.0,313530.0,309191.0,305143.0,301466.0,298211.0,295202.0,292194.0,288911.0,285346.0,281567.0,277883.0,274104.0,270335.0,266800.0,263440.0,260090.0,256690.0,253277.0,249790.0,246099.0,242360.0,238662.0,234827.0,230768.0,226560.0,222171.0,217625.0,212817.0,208035.0,203541.0,199126.0,194865.0,190945.0,187134.0,183288.0,179541.0,176067.0,172990.0,170277.0,167868.0,165451.0,163113.0,160803.0,158516.0,156243.0,153984.0,151732.0,149469.0,147216.0,144966.0,142699.0,140425.0,138135.0
22,480343,486980.0,486818.0,481641.0,485410.0,494489.0,498721.0,504279.0,509375.0,518933.0,514362.0,496090.0,488657.0,477637.0,457060.0,447557.0,446599.0,437449.0,420157.0,395635.0,373389.0,353067.0,349341.0,341040.0,334717.0,328878.0,323435.0,318217.0,313448.0,309111.0,305064.0,301388.0,298133.0,295125.0,292118.0,288836.0,285272.0,281494.0,277811.0,274033.0,270265.0,266731.0,263371.0,260022.0,256623.0,253211.0,249725.0,246035.0,242297.0,238600.0,234766.0,230708.0,226501.0,222113.0,217568.0,212762.0,207981.0,203488.0,199074.0,194814.0,190895.0,187085.0,183240.0,179494.0,176021.0,172945.0,170233.0,167824.0,165408.0,163071.0,160761.0,158475.0,156202.0,153944.0,151693.0,149430.0,147178.0,144928.0,142662.0,140388.0
23,480408,480218.0,486853.0,486691.0,481516.0,485284.0,494360.0,498591.0,504148.0,509242.0,518798.0,514228.0,495961.0,488530.0,477513.0,456941.0,447441.0,446483.0,437335.0,420048.0,395532.0,373292.0,352975.0,349250.0,340951.0,334630.0,328792.0,323351.0,318134.0,313366.0,309031.0,304985.0,301310.0,298055.0,295048.0,292042.0,288761.0,285198.0,281421.0,277739.0,273962.0,270195.0,266662.0,263302.0,259954.0,256556.0,253145.0,249660.0,245971.0,242234.0,238538.0,234705.0,230648.0,226442.0,222055.0,217511.0,212707.0,207927.0,203435.0,199022.0,194763.0,190845.0,187036.0,183192.0,179447.0,175975.0,172900.0,170189.0,167780.0,165365.0,163029.0,160719.0,158434.0,156161.0,153904.0,151654.0,149391.0,147140.0,144890.0,142625.0
24,484376,480283.0,480093.0,486726.0,486564.0,481391.0,485158.0,494231.0,498461.0,504017.0,509110.0,518663.0,514094.0,495832.0,488403.0,477389.0,456822.0,447325.0,446367.0,437221.0,419939.0,395429.0,373195.0,352883.0,349159.0,340862.0,334543.0,328706.0,323267.0,318051.0,313284.0,308951.0,304906.0,301232.0,297977.0,294971.0,291966.0,288686.0,285124.0,281348.0,277667.0,273891.0,270125.0,266593.0,263234.0,259886.0,256489.0,253079.0,249595.0,245907.0,242171.0,238476.0,234644.0,230588.0,226383.0,221997.0,217454.0,212652.0,207873.0,203382.0,198970.0,194712.0,190795.0,186987.0,183144.0,179400.0,175929.0,172855.0,170145.0,167736.0,165322.0,162987.0,160677.0,158393.0,156120.0,153864.0,151615.0,149352.0,147102.0,144852.0
25,485624,484250.0,480158.0,479968.0,486599.0,486437.0,481266.0,485032.0,494102.0,498331.0,503886.0,508978.0,518528.0,513960.0,495703.0,488276.0,477265.0,456703.0,447209.0,446251.0,437107.0,419830.0,395326.0,373098.0,352791.0,349068.0,340773.0,334456.0,328620.0,323183.0,317968.0,313203.0,308871.0,304827.0,301154.0,297899.0,294894.0,291890.0,288611.0,285050.0,281275.0,277595.0,273820.0,270055.0,266524.0,263166.0,259818.0,256422.0,253013.0,249530.0,245843.0,242108.0,238414.0,234583.0,230528.0,226324.0,221939.0,217397.0,212597.0,207819.0,203329.0,198918.0,194661.0,190745.0,186938.0,183096.0,179353.0,175883.0,172810.0,170101.0,167692.0,165279.0,162945.0,160635.0,158352.0,156079.0,153824.0,151576.0,149313.0,147064.0
26,491606,485047.0,483675.0,479587.0,479398.0,486021.0,485859.0,480694.0,484456.0,493515.0,497739.0,503287.0,508373.0,517912.0,513349.0,495114.0,487696.0,476698.0,456160.0,446678.0,445721.0,436588.0,419331.0,394856.0,372655.0,352372.0,348653.0,340368.0,334059.0,328229.0,322799.0,317590.0,312831.0,308504.0,304465.0,300796.0,297545.0,294544.0,291543.0,288268.0,284711.0,280941.0,277265.0,273495.0,269734.0,266207.0,262853.0,259509.0,256117.0,252712.0,249233.0,245551.0,241820.0,238131.0,234304.0,230254.0,226055.0,221675.0,217139.0,212344.0,207572.0,203087.0,198682.0,194430.0,190518.0,186716.0,182878.0,179140.0,175674.0,172605.0,169899.0,167493.0,165083.0,162751.0,160444.0,158164.0,155894.0,153641.0,151396.0,149136.0
27,505410,490993.0,484442.0,483072.0,478989.0,478800.0,485415.0,485253.0,480095.0,483852.0,492900.0,497119.0,502660.0,507739.0,517266.0,512709.0,494497.0,487088.0,476104.0,455591.0,446121.0,445165.0,436044.0,418808.0,394364.0,372191.0,351933.0,348218.0,339944.0,333643.0,327820.0,322397.0,317194.0,312441.0,308119.0,304086.0,300421.0,297174.0,294177.0,291180.0,287909.0,284356.0,280591.0,276919.0,273154.0,269398.0,265875.0,262525.0,259186.0,255798.0,252397.0,248922.0,245245.0,241519.0,237834.0,234012.0,229967.0,225773.0,221399.0,216868.0,212079.0,207313.0,202834.0,198434.0,194188.0,190281.0,186483.0,182650.0,178917.0,175455.0,172390.0,169687.0,167284.0,164877.0,162548.0,160244.0,157967.0,155700.0,153450.0,151207.0
28,522598,504751.0,490353.0,483810.0,482442.0,478364.0,478175.0,484782.0,484620.0,479469.0,483221.0,492257.0,496471.0,502004.0,507077.0,516591.0,512040.0,493852.0,486453.0,475483.0,454997.0,445539.0,444584.0,435475.0,418262.0,393850.0,371706.0,351474.0,347764.0,339501.0,333208.0,327392.0,321976.0,316780.0,312033.0,307717.0,303689.0,300029.0,296786.0,293793.0,290800.0,287533.0,283985.0,280225.0,276558.0,272798.0,269047.0,265528.0,262183.0,258848.0,255464.0,252068.0,248597.0,244925.0,241204.0,237524.0,233707.0,229667.0,225479.0,221110.0,216585.0,211802.0,207043.0,202569.0,198175.0,193935.0,190033.0,186240.0,182412.0,178684.0,175226.0,172165.0,169466.0,167066.0,164662.0,162336.0,160035.0,157761.0,155497.0,153250.0
29,529148,521886.0,504063.0,489685.0,483151.0,481785.0,477712.0,477524.0,484122.0,483960.0,478816.0,482563.0,491586.0,495795.0,501320.0,506386.0,515887.0,511342.0,493179.0,485790.0,474835.0,454377.0,444932.0,443978.0,434882.0,417692.0,393313.0,371200.0,350995.0,347290.0,339038.0,332754.0,326946.0,321537.0,316348.0,311608.0,307298.0,303275.0,299620.0,296382.0,293393.0,290404.0,287141.0,283598.0,279843.0,276181.0,272426.0,268680.0,265166.0,261826.0,258495.0,255116.0,251725.0,248258.0,244591.0,240875.0,237200.0,233389.0,229354.0,225172.0,220809.0,216290.0,211513.0,206761.0,202293.0,197905.0,193671.0,189774.0,185986.0,182163.0,178441.0,174987.0,171930.0,169235.0,166838.0,164438.0,162115.0,159817.0,157546.0,155285.0
